Participant,Session,ManRO,ManRB,ManRL,ManAB,ManAL,ManLO,ManLB,ManLL,MaxRO,MaxRB,MaxRL,MaxAB,MaxAL,MaxLO,MaxLB,MaxLL
1,1,181,293,73,0,329,60,345,133,77,363,0,252,131,64,244,91
1,2,128,161,255,22,204,220,223,45,0,262,0,371,130,0,315,0
1,3,205,242,284,0,238,217,163,208,186,63,27,406,0,233,104,0
1,4,72,362,148,84,166,123,312,129,112,239,47,419,134,96,425,48
1,5,113,267,15,105,287,56,173,93,95,299,109,69,226,60,450,148
1,6,157,237,89,215,220,208,236,179,154,262,0,128,155,163,427,29
1,7,72,155,176,0,329,75,108,193,76,301,137,342,152,93,337,156
1,8,190,294,69,66,194,162,302,32,179,158,28,171,206,113,220,131
1,9,175,220,14,292,97,205,278,70,210,204,91,497,16,157,286,119
1,10,227,150,136,144,182,182,84,133,134,147,160,340,102,159,193,120
2,1,0,167,395,180,213,197,171,213,0,331,377,312,122,0,433,0
2,2,151,137,273,305,187,207,180,228,0,173,0,557,0,0,311,0
2,3,0,259,519,383,136,61,162,183,0,175,379,255,0,0,300,0
2,4,0,214,209,332,111,0,175,185,0,270,317,530,228,0,253,0
2,5,0,253,0,581,0,0,200,0,0,279,0,434,0,0,108,0
2,6,0,206,396,186,237,0,203,239,0,277,228,207,217,89,262,48
2,7,0,945,275,198,217,0,0,194,230,0,203,193,115,0,373,0
2,8,0,180,88,355,249,0,368,116,0,218,195,493,141,0,194,0
2,9,13,200,426,110,155,147,161,164,63,394,373,252,224,0,214,150
2,10,0,161,112,456,219,0,220,89,0,268,241,331,149,0,449,106
3,1,0,154,261,186,103,23,347,203,13,145,332,232,15,0,302,88
3,2,0,209,176,198,238,0,133,177,33,203,197,249,61,0,181,238
3,3,0,83,124,149,90,0,320,59,0,71,211,361,42,0,155,91
3,4,0,144,300,100,99,0,210,164,0,81,246,482,88,36,177,67
3,5,0,116,204,213,54,0,252,143,0,52,199,457,42,18,145,88
3,6,0,130,276,284,147,0,286,127,0,180,251,309,124,73,319,63
3,7,60,111,83,282,133,0,209,15,0,139,111,387,64,0,213,59
3,8,0,117,145,215,22,0,280,140,0,149,226,292,67,0,159,260
3,9,15,155,229,233,104,21,235,202,0,100,191,387,36,0,190,202
3,10,0,220,230,179,65,0,257,284,16,63,273,264,22,0,276,171
4,1,18,334,197,278,176,0,570,93,0,216,0,463,0,0,219,0
4,2,0,146,102,398,157,0,345,86,0,469,30,291,16,0,380,0
4,3,0,163,43,332,197,0,609,120,0,424,0,248,17,0,405,24
4,4,138,203,85,426,189,64,328,115,0,358,0,215,37,0,535,0
4,5,0,258,41,191,37,0,408,36,0,209,0,109,17,0,208,0
4,6,0,144,16,267,44,14,553,52,0,401,0,248,0,0,452,0
4,7,70,351,125,211,187,49,501,15,0,268,0,235,0,0,302,0
4,8,157,95,0,161,73,276,516,13,0,420,0,258,0,143,203,26
4,9,39,199,160,228,299,16,332,48,0,284,0,124,0,21,639,0
4,10,45,261,18,423,109,0,758,27,0,540,0,197,0,0,94,0
5,1,0,322,139,285,14,87,321,140,0,176,77,358,139,35,178,112
5,2,0,220,62,128,27,17,186,160,15,242,13,262,20,15,164,43
5,3,0,224,21,190,105,15,110,74,16,98,14,303,57,0,172,56
5,4,0,41,132,130,51,0,187,169,12,35,34,305,59,0,122,14
5,5,0,56,16,197,12,53,148,17,34,64,26,252,13,18,48,50
5,6,0,72,0,535,44,70,155,0,0,21,17,135,18,0,25,30
5,7,0,80,29,83,29,18,85,80,0,159,34,116,0,0,22,0
5,8,0,59,80,123,0,0,116,0,14,0,0,186,17,0,0,0
5,9,0,111,23,136,0,0,18,0,20,21,0,205,20,0,12,14
5,10,0,30,0,127,0,0,419,0,17,16,0,233,0,13,58,20
6,1,45,285,0,0,15,279,128,0,89,308,0,0,0,372,183,0
6,2,183,475,0,93,0,376,0,0,293,45,55,110,0,348,48,0
6,3,285,464,0,0,0,309,55,0,246,129,0,135,55,0,723,0
6,4,0,299,0,118,0,31,537,0,358,13,0,92,0,368,45,0
6,5,0,382,0,0,0,78,244,0,266,505,0,119,0,0,766,0
6,6,28,585,0,143,0,159,170,0,340,90,0,62,0,121,460,0
6,7,81,139,0,101,0,130,127,0,193,179,0,42,0,198,38,0
6,8,31,195,0,0,0,133,104,0,123,341,0,140,0,220,122,0
6,9,0,380,0,212,0,173,169,0,323,413,0,94,0,340,387,0
